# 2025.10.10 [*] created by TopoDroid v 6.3.52
# name: Laci_Fogadalom
# date: 2022.03.19
# team: NemLaci
# declination: 5.37
# units: tape meter compass clino degree
# from, to, tape, compass, clino, extend, flags, comment
35@Laci_Fogadalom,-,0.52,247.3,13.8,,,""
35@Laci_Fogadalom,-,1.04,237.4,5.5,,,""
35@Laci_Fogadalom,-,1.32,235.4,6.9,,,""
35@Laci_Fogadalom,-,1.21,223.2,9.8,,,""
35@Laci_Fogadalom,-,1.25,215.0,9.5,,,""
35@Laci_Fogadalom,-,1.63,211.2,9.0,,,""
35@Laci_Fogadalom,-,1.60,186.9,8.8,,,""
35@Laci_Fogadalom,-,1.06,169.1,7.6,,,""
35@Laci_Fogadalom,-,1.08,157.3,4.9,,,""
35@Laci_Fogadalom,-,2.95,161.2,-50.6,,,""
35@Laci_Fogadalom,-,2.40,158.4,-34.7,,,""
35@Laci_Fogadalom,-,6.06,165.6,-65.2,,,""
35@Laci_Fogadalom,-,1.62,357.7,81.5,,,""
35@Laci_Fogadalom,-,2.96,164.4,74.9,,,""
35@Laci_Fogadalom,-,5.45,146.3,82.7,,,""
35@Laci_Fogadalom,-,1.71,158.7,52.0,,,""
35@Laci_Fogadalom,-,1.44,12.5,57.7,,,""
35@Laci_Fogadalom,36@Laci_Fogadalom,5.45,178.3,81.1,-1,,""
36@Laci_Fogadalom,-,1.13,46.9,-7.5,,,""
36@Laci_Fogadalom,-,0.86,51.7,-7.2,,,""
36@Laci_Fogadalom,-,0.86,21.8,-3.7,,,""
36@Laci_Fogadalom,-,1.21,5.4,-3.4,,,""
